movie;writer;director
tt0016481;nm0390586;nm0243295
tt0016481;nm0243295;nm0243295
tt0016544;nm0000875;nm0783865
tt0016544;nm0062091;nm0783865
tt0016544;nm0497736;nm0783865
tt0016544;nm0783865;nm0783865
tt0016630;nm0809548;nm0000036
tt0016630;nm0090213;nm0000036
tt0016630;nm0807667;nm0000036
tt0016630;nm0623640;nm0000036
tt0016630;nm0109209;nm0000036
tt0016630;nm0577650;nm0000036
tt0016641;nm0908753;nm0629243
tt0016641;nm0908753;nm0102643
tt0016641;nm0908753;nm0127511
tt0016641;nm0908753;nm0169905
tt0016641;nm0908753;nm0002271
tt0016641;nm0558923;nm0629243
tt0016641;nm0558923;nm0102643
tt0016641;nm0558923;nm0127511
tt0016641;nm0558923;nm0169905
tt0016641;nm0558923;nm0002271
tt0016641;nm0933133;nm0629243
tt0016641;nm0933133;nm0102643
tt0016641;nm0933133;nm0127511
tt0016641;nm0933133;nm0169905
tt0016641;nm0933133;nm0002271
tt0016641;nm0385012;nm0629243
tt0016641;nm0385012;nm0102643
tt0016641;nm0385012;nm0127511
tt0016641;nm0385012;nm0169905
tt0016641;nm0385012;nm0002271
tt0016641;nm0129721;nm0629243
tt0016641;nm0129721;nm0102643
tt0016641;nm0129721;nm0127511
tt0016641;nm0129721;nm0169905
tt0016641;nm0129721;nm0002271
tt0016847;nm0369458;nm0003638
tt0016847;nm0477515;nm0003638
tt0016847;nm0324473;nm0003638
tt0017048;nm0442704;nm0455938
tt0017048;nm0455938;nm0455938
tt0017048;nm0409467;nm0455938
tt0017048;nm2396540;nm0455938
tt0017048;nm1273449;nm0455938
tt0017136;nm0902376;nm0000485
tt0017136;nm0000485;nm0000485
tt0017271;nm0474487;nm0474487
tt0017271;nm0518711;nm0474487
tt0017271;nm0794531;nm0474487
tt0017350;nm0370426;nm0803705
tt0017350;nm0547966;nm0803705
tt0017463;nm0924268;nm0000406
tt0017463;nm0831958;nm0000406
tt0017463;nm0817809;nm0000406
tt0017463;nm0102167;nm0000406
tt0017925;nm0000036;nm0115669
tt0017925;nm0000036;nm0000036
tt0017925;nm0115669;nm0115669
tt0017925;nm0115669;nm0000036
tt0017925;nm0090213;nm0115669
tt0017925;nm0090213;nm0000036
tt0017925;nm0807667;nm0115669
tt0017925;nm0807667;nm0000036
tt0017925;nm0685904;nm0115669
tt0017925;nm0685904;nm0000036
tt0017925;nm0809548;nm0115669
tt0017925;nm0809548;nm0000036
tt0017961;nm0575963;nm0575963
tt0018054;nm0534221;nm0001124
tt0018066;nm0953515;nm0699877
tt0018066;nm0953515;nm0231151
tt0018192;nm0304098;nm0304098
tt0018379;nm0834944;nm0097648
tt0018379;nm0322227;nm0097648
tt0018379;nm0385012;nm0097648
tt0018379;nm0129721;nm0097648
tt0018379;nm0615868;nm0097648
tt0018451;nm6753657;nm0523932
tt0018451;nm6753657;nm0821472
tt0018451;nm0014703;nm0523932
tt0018451;nm0014703;nm0821472
tt0018451;nm0191956;nm0523932
tt0018451;nm0191956;nm0821472
tt0018451;nm0232704;nm0523932
tt0018451;nm0232704;nm0821472
tt0018451;nm0583431;nm0523932
tt0018451;nm0583431;nm0821472
tt0018526;nm0299153;nm0903049
tt0018526;nm0299153;nm0744504
tt0018526;nm0001328;nm0903049
tt0018526;nm0001328;nm0744504
tt0018526;nm0372942;nm0903049
tt0018526;nm0372942;nm0744504
tt0018526;nm0498133;nm0903049
tt0018526;nm0498133;nm0744504
tt0018526;nm0547938;nm0903049
tt0018526;nm0547938;nm0744504
tt0018526;nm0903049;nm0903049
tt0018526;nm0903049;nm0744504
tt0018528;nm0115218;nm0115218
tt0018528;nm0950150;nm0115218
tt0018528;nm0267868;nm0115218
tt0018528;nm0727497;nm0115218
tt0018578;nm0766850;nm0195496
tt0018578;nm0766850;nm0920074
tt0018578;nm0521002;nm0195496
tt0018578;nm0521002;nm0920074
tt0018578;nm0510024;nm0195496
tt0018578;nm0510024;nm0920074
tt0018578;nm0425456;nm0195496
tt0018578;nm0425456;nm0920074
tt0018578;nm0604526;nm0195496
tt0018578;nm0604526;nm0920074
tt0018684;nm0322227;nm0920074
tt0018684;nm0876432;nm0920074
tt0018737;nm0917149;nm0655065
tt0018737;nm0883335;nm0655065
tt0018737;nm0281567;nm0655065
tt0018737;nm0655065;nm0655065
tt0018742;nm0115669;nm0000036
tt0018742;nm0115669;nm0781292
tt0018742;nm0513858;nm0000036
tt0018742;nm0513858;nm0781292
tt0018742;nm0267868;nm0000036
tt0018742;nm0267868;nm0781292
tt0018742;nm0090213;nm0000036
tt0018742;nm0090213;nm0781292
tt0018742;nm0604526;nm0000036
tt0018742;nm0604526;nm0781292
tt0018773;nm0000122;nm0000122
tt0018806;nm0896542;nm0896542
tt0018806;nm0915875;nm0896542
tt0018806;nm0267868;nm0896542
tt0018806;nm0066946;nm0896542
tt0018839;nm0299154;nm0903049
tt0018839;nm0766850;nm0903049
tt0018839;nm0425456;nm0903049
tt0018876;nm0035199;nm0000033
tt0018876;nm0000033;nm0000033
tt0018876;nm0402855;nm0000033
tt0018876;nm0497961;nm0000033
tt0018876;nm0680914;nm0000033
tt0018876;nm0822627;nm0000033
tt0019074;nm0067584;nm0107543
tt0019074;nm0193704;nm0107543
tt0019074;nm0267868;nm0107543
tt0019074;nm0576035;nm0107543
tt0019109;nm0656264;nm0270838
tt0019109;nm0522871;nm0270838
tt0019109;nm0715723;nm0270838
tt0019379;nm0426515;nm0896542
tt0019379;nm0821716;nm0896542
tt0019379;nm0817809;nm0896542
tt0019412;nm0340599;nm0928514
tt0019412;nm0623640;nm0928514
tt0019412;nm0736911;nm0928514
tt0019412;nm0090213;nm0928514
tt0019412;nm0218626;nm0928514
tt0019412;nm0397834;nm0928514
tt0019412;nm0809548;nm0928514
tt0019421;nm0361882;nm0718469
tt0019421;nm0361882;nm0000036
tt0019429;nm0388743;nm0097648
tt0019429;nm0458934;nm0097648
tt0019429;nm0843364;nm0097648
tt0019655;nm0562004;nm0562004
tt0019655;nm0844459;nm0562004
tt0019655;nm0889172;nm0562004
tt0019788;nm0007973;nm0853130
tt0019788;nm0108697;nm0853130
tt0019788;nm0340599;nm0853130
tt0019788;nm0573865;nm0853130
tt0019788;nm0853130;nm0853130
tt0019901;nm0902376;nm0000485
tt0019901;nm0000485;nm0000485
tt0020018;nm0377958;nm0191899
tt0020018;nm0058179;nm0191899
tt0020018;nm0809548;nm0191899
tt0020122;nm0095732;nm0097648
tt0020122;nm0129721;nm0097648
tt0020122;nm0385012;nm0097648
tt0020122;nm0397022;nm0097648
tt0020122;nm0876811;nm0097648
tt0020298;nm0002233;nm0002233
tt0020298;nm0002233;nm0092915
tt0020298;nm0014703;nm0002233
tt0020298;nm0014703;nm0092915
tt0020298;nm0322227;nm0002233
tt0020298;nm0322227;nm0092915
tt0020768;nm0504443;nm0003638
tt0020768;nm0896826;nm0003638
tt0020768;nm0651000;nm0003638
tt0020768;nm0129721;nm0003638
tt0020768;nm0385012;nm0003638
tt0020793;nm0696920;nm0002190
tt0020793;nm0002190;nm0002190
tt0021015;nm0639997;nm0000033
tt0021015;nm0000033;nm0000033
tt0021015;nm0720904;nm0000033
tt0021309;nm0634113;nm0823089
tt0021309;nm0634113;nm0823088
tt0021309;nm0635163;nm0823089
tt0021309;nm0635163;nm0823088
tt0021309;nm0724858;nm0823089
tt0021309;nm0724858;nm0823088
tt0021309;nm0823089;nm0823089
tt0021309;nm0823089;nm0823088
tt0021309;nm0823088;nm0823089
tt0021309;nm0823088;nm0823088
tt0021309;nm0324473;nm0823089
tt0021309;nm0324473;nm0823088
tt0021409;nm0163229;nm0163229
tt0021730;nm0547966;nm0896542
tt0021730;nm0875746;nm0896542
tt0021730;nm0549905;nm0896542
tt0021739;nm0478579;nm0719756
tt0021739;nm0719756;nm0719756
tt0021739;nm0320630;nm0719756
tt0021739;nm0610207;nm0719756
tt0021884;nm0049721;nm0001843
tt0021884;nm0791217;nm0001843
tt0021884;nm0916811;nm0001843
tt0021884;nm0287124;nm0001843
tt0021884;nm0267020;nm0001843
tt0021884;nm0770337;nm0001843
tt0021884;nm0282984;nm0001843
tt0021884;nm0751246;nm0001843
tt0022074;nm0414885;nm0523932
tt0022074;nm0233791;nm0523932
tt0022074;nm0618169;nm0523932
tt0022074;nm0883328;nm0523932
tt0022074;nm0710723;nm0523932
tt0022074;nm0523932;nm0523932
tt0022074;nm1250333;nm0523932
tt0022080;nm0670643;nm0670643
tt0022100;nm0902376;nm0000485
tt0022100;nm0000485;nm0000485
tt0022100;nm0414825;nm0000485
tt0022125;nm0656528;nm0466099
tt0022150;nm0077278;nm0163229
tt0022150;nm0347058;nm0163229
tt0022150;nm0163229;nm0163229
tt0022153;nm0842485;nm0001008
tt0022153;nm0576046;nm0001008
tt0022153;nm0728307;nm0001008
tt0022395;nm0303335;nm0000033
tt0022395;nm0000033;nm0000033
tt0022395;nm0720904;nm0000033
tt0022436;nm0723418;nm0896542
tt0022458;nm0003638;nm0003638
tt0022458;nm0280904;nm0003638
tt0022458;nm0880618;nm0003638
tt0022485;nm0457560;nm0654868
tt0022485;nm0633792;nm0654868
tt0022550;nm0792845;nm0001843
tt0022550;nm0506349;nm0001843
tt0022550;nm0715723;nm0001843
tt0022599;nm0163229;nm0163229
tt0022626;nm0728307;nm0001008
tt0022626;nm0728307;nm0245385
tt0022626;nm0728307;nm0624756
tt0022787;nm0076368;nm0076368
tt0022787;nm0233593;nm0076368
tt0022787;nm0485676;nm0076368
tt0022802;nm0413711;nm0337586
tt0022802;nm0594594;nm0337586
tt0022802;nm0855850;nm0337586
tt0022802;nm0953123;nm0337586
tt0022913;nm0730317;nm0115218
tt0022913;nm0325135;nm0115218
tt0022913;nm0330390;nm0115218
tt0022913;nm0090213;nm0115218
tt0022913;nm0531269;nm0115218
tt0022913;nm0941138;nm0115218
tt0023241;nm0493071;nm0115669
tt0023241;nm0493071;nm0516001
tt0023241;nm0426515;nm0115669
tt0023241;nm0426515;nm0516001
tt0023241;nm0340599;nm0115669
tt0023241;nm0340599;nm0516001
tt0023241;nm0012148;nm0115669
tt0023241;nm0012148;nm0516001
tt0023241;nm0124290;nm0115669
tt0023241;nm0124290;nm0516001
tt0023241;nm0516001;nm0115669
tt0023241;nm0516001;nm0516001
tt0023293;nm0697362;nm0001843
tt0023293;nm0506349;nm0001843
tt0023293;nm0792670;nm0001843
tt0023303;nm0773083;nm0002030
tt0023303;nm0773083;nm0523932
tt0023303;nm0710723;nm0002030
tt0023303;nm0710723;nm0523932
tt0023303;nm0545401;nm0002030
tt0023303;nm0545401;nm0523932
tt0023395;nm0172246;nm0000033
tt0023395;nm0000033;nm0000033
tt0023395;nm0720904;nm0000033
tt0023395;nm0884318;nm0000033
tt0023622;nm0710723;nm0523932
tt0023622;nm0428177;nm0523932
tt0023622;nm0015801;nm0523932
tt0023634;nm0299343;nm0654868
tt0023634;nm0406601;nm0654868
tt0023634;nm0654868;nm0654868
tt0023649;nm0494257;nm0003433
tt0023649;nm0432143;nm0003433
tt0023649;nm0003433;nm0003433
tt0023686;nm0288706;nm0002030
tt0023686;nm0114602;nm0002030
tt0023686;nm0820700;nm0002030
tt0023686;nm0613848;nm0002030
tt0023686;nm0548993;nm0002030
tt0023686;nm0696190;nm0002030
tt0023686;nm0729694;nm0002030
tt0023686;nm0828574;nm0002030
tt0023775;nm0548403;nm0337586
tt0023775;nm0778636;nm0337586
tt0023775;nm0953123;nm0337586
tt0023871;nm0183018;nm0183018
tt0023871;nm0302040;nm0183018
tt0023876;nm0075351;nm0515979
tt0023876;nm0002021;nm0515979
tt0023937;nm0407456;nm0654868
tt0023937;nm0654868;nm0654868
tt0023940;nm0002021;nm0523932
tt0023940;nm0372942;nm0523932
tt0023940;nm0388755;nm0523932
tt0023943;nm0534221;nm0736778
tt0023943;nm0534221;nm0730018
tt0023943;nm0780107;nm0736778
tt0023943;nm0780107;nm0730018
tt0023969;nm0436095;nm0564970
tt0023969;nm0748438;nm0564970
tt0023969;nm0790654;nm0564970
tt0023969;nm0674759;nm0564970
tt0023973;nm0589316;nm0908234
tt0023973;nm0589316;nm0500552
tt0023973;nm0736752;nm0908234
tt0023973;nm0736752;nm0500552
tt0023973;nm0766850;nm0908234
tt0023973;nm0766850;nm0500552
tt0023986;nm0696190;nm0215877
tt0023986;nm0091200;nm0215877
tt0024028;nm0781719;nm0045800
tt0024028;nm0786827;nm0045800
tt0024028;nm0520501;nm0045800
tt0024028;nm0590361;nm0045800
tt0024127;nm0770948;nm0826094
tt0024127;nm0530731;nm0826094
tt0024183;nm0552289;nm0840042
tt0024183;nm0216755;nm0840042
tt0024183;nm0105261;nm0840042
tt0024183;nm0374013;nm0840042
tt0024184;nm0920229;nm0001843
tt0024184;nm0792670;nm0001843
tt0024184;nm0002545;nm0001843
tt0024184;nm0943804;nm0001843
tt0024188;nm0950150;nm0448915
tt0024188;nm0943804;nm0448915
tt0024188;nm0920229;nm0448915
tt0024216;nm0187256;nm0774325
tt0024216;nm0187256;nm0178260
tt0024216;nm0741656;nm0774325
tt0024216;nm0741656;nm0178260
tt0024216;nm0178260;nm0774325
tt0024216;nm0178260;nm0178260
tt0024216;nm0908624;nm0774325
tt0024216;nm0908624;nm0178260
tt0024216;nm0330390;nm0774325
tt0024216;nm0330390;nm0178260
tt0024240;nm0728307;nm0001008
tt0024240;nm0750357;nm0001008
tt0024264;nm0017301;nm0002030
tt0024264;nm0556945;nm0002030
tt0024264;nm0373511;nm0002030
tt0024264;nm0028636;nm0002030
tt0024264;nm0088670;nm0002030
tt0024264;nm0102818;nm0002030
tt0024264;nm0276040;nm0002030
tt0024264;nm0376179;nm0002030
tt0024264;nm0613848;nm0002030
tt0024264;nm0827693;nm0002030
tt0024264;nm0875746;nm0002030
tt0024264;nm0878605;nm0002030
tt0024481;nm0367814;nm0541149
tt0024481;nm0826554;nm0541149
tt0024481;nm0505996;nm0541149
tt0024481;nm0067103;nm0541149
tt0024481;nm0309567;nm0541149
tt0024481;nm0372942;nm0541149
tt0024481;nm0541149;nm0541149
tt0024481;nm0883328;nm0541149
tt0024481;nm0921995;nm0541149
tt0024593;nm0741656;nm0774325
tt0024617;nm0308177;nm0731596
tt0024617;nm0001203;nm0731596
tt0024617;nm0914362;nm0731596
tt0024844;nm0347447;nm0897118
tt0024844;nm0729960;nm0897118
tt0024844;nm0897118;nm0897118
tt0024852;nm0124918;nm0736778
tt0024852;nm0124918;nm0576940
tt0024852;nm0342417;nm0736778
tt0024852;nm0342417;nm0576940
tt0024852;nm0152156;nm0736778
tt0024852;nm0152156;nm0576940
tt0024852;nm0491048;nm0736778
tt0024852;nm0491048;nm0576940
tt0024902;nm0102908;nm0102908
tt0024966;nm0298998;nm0890574
tt0024966;nm0298998;nm0890567
tt0024966;nm0298997;nm0890574
tt0024966;nm0298997;nm0890567
tt0024966;nm0890574;nm0890574
tt0024966;nm0890574;nm0890567
tt0024966;nm0890567;nm0890574
tt0024966;nm0890567;nm0890567
tt0025028;nm0202681;nm0000923
tt0025028;nm0202681;nm0258015
tt0025028;nm0520501;nm0000923
tt0025028;nm0520501;nm0258015
tt0025164;nm0852313;nm0762263
tt0025164;nm0916177;nm0762263
tt0025164;nm0388755;nm0762263
tt0025164;nm0547938;nm0762263
tt0025164;nm0949130;nm0762263
tt0025164;nm0442137;nm0762263
tt0025164;nm0070361;nm0762263
tt0025164;nm0359748;nm0762263
tt0025164;nm0543122;nm0762263
tt0025164;nm0712060;nm0762263
tt0025318;nm0192325;nm0572851
tt0025318;nm0568571;nm0572851
tt0025318;nm0001211;nm0572851
tt0025318;nm0083125;nm0572851
tt0025318;nm0107756;nm0572851
tt0025318;nm0337914;nm0572851
tt0025318;nm0750822;nm0572851
tt0025318;nm0801647;nm0572851
tt0025318;nm0809548;nm0572851
tt0025318;nm0919543;nm0572851
tt0025318;nm0922951;nm0572851
tt0025410;nm0750357;nm0355284
tt0025410;nm0513529;nm0355284
tt0025410;nm0375500;nm0355284
tt0025410;nm0499628;nm0355284
tt0025440;nm0102908;nm0102908
tt0025455;nm0663858;nm0102908
tt0025464;nm0308177;nm0886754
tt0025464;nm0308177;nm0176699
tt0025464;nm0308177;nm0002030
tt0025464;nm0000581;nm0886754
tt0025464;nm0000581;nm0176699
tt0025464;nm0000581;nm0002030
tt0025464;nm0128361;nm0886754
tt0025464;nm0128361;nm0176699
tt0025464;nm0128361;nm0002030
tt0025464;nm0230776;nm0886754
tt0025464;nm0230776;nm0176699
tt0025464;nm0230776;nm0002030
tt0025464;nm0829330;nm0886754
tt0025464;nm0829330;nm0176699
tt0025464;nm0829330;nm0002030
tt0025699;nm0663858;nm0292134
tt0025746;nm0464767;nm0903049
tt0025746;nm1327583;nm0903049
tt0025862;nm0123194;nm0176699
tt0025862;nm0123194;nm0570985
tt0025862;nm0123194;nm0316539
tt0025862;nm0570130;nm0176699
tt0025862;nm0570130;nm0570985
tt0025862;nm0570130;nm0316539
tt0025862;nm0736911;nm0176699
tt0025862;nm0736911;nm0570985
tt0025862;nm0736911;nm0316539
tt0025862;nm0330390;nm0176699
tt0025862;nm0330390;nm0570985
tt0025862;nm0330390;nm0316539
tt0025862;nm0058295;nm0176699
tt0025862;nm0058295;nm0570985
tt0025862;nm0058295;nm0316539
tt0025898;nm0719756;nm0719756
tt0025898;nm2365865;nm0719756
tt0025898;nm0251873;nm0719756
tt0025913;nm0726166;nm0726166
tt0025913;nm0752193;nm0726166
tt0025913;nm1168002;nm0726166
tt0025929;nm0407456;nm0654868
tt0025929;nm0654868;nm0654868
tt0026029;nm0117955;nm0000033
tt0026029;nm0071657;nm0000033
tt0026029;nm0067308;nm0000033
tt0026104;nm0856842;nm0541149
tt0026104;nm0267020;nm0541149
tt0026104;nm0593517;nm0541149
tt0026267;nm0636475;nm0102908
tt0026267;nm0102908;nm0102908
tt0026267;nm0869389;nm0102908
tt0026424;nm0385992;nm0943758
tt0026424;nm0597175;nm0943758
tt0026424;nm0002545;nm0943758
tt0026529;nm0629580;nm0000406
tt0026529;nm0641018;nm0000406
tt0026725;nm0401076;nm0092915
tt0026725;nm0513744;nm0092915
tt0027075;nm0002042;nm0176699
tt0027075;nm0002042;nm0502752
tt0027075;nm0513744;nm0176699
tt0027075;nm0513744;nm0502752
tt0027075;nm0067103;nm0176699
tt0027075;nm0067103;nm0502752
tt0027075;nm1892772;nm0176699
tt0027075;nm1892772;nm0502752
tt0027075;nm7454408;nm0176699
tt0027075;nm7454408;nm0502752
tt0027075;nm7454409;nm0176699
tt0027075;nm7454409;nm0502752
tt0027075;nm1898835;nm0176699
tt0027075;nm1898835;nm0502752
tt0027118;nm0033163;nm0654868
tt0027118;nm0407456;nm0654868
tt0027118;nm0654868;nm0654868
tt0027214;nm0842485;nm0000406
tt0027214;nm0728307;nm0000406
tt0027214;nm0122446;nm0000406
tt0027307;nm0442704;nm0793646
tt0027307;nm0793646;nm0793646
tt0027336;nm0331003;nm0719756
tt0027336;nm0759866;nm0719756
tt0027336;nm0173952;nm0719756
tt0027336;nm0719756;nm0719756
tt0027336;nm0816458;nm0719756
tt0027342;nm0245213;nm0245213
tt0027342;nm0816458;nm0245213
tt0027438;nm0855139;nm0002031
tt0027438;nm0415004;nm0002031
tt0027438;nm0500284;nm0002031
tt0027441;nm0000252;nm0401680
tt0027441;nm0517567;nm0401680
tt0027441;nm0522871;nm0401680
tt0027441;nm0107756;nm0401680
tt0027441;nm0253892;nm0401680
tt0027441;nm0081788;nm0401680
tt0027442;nm0000252;nm0928781
tt0027442;nm0517567;nm0928781
tt0027442;nm0254754;nm0928781
tt0027442;nm0081788;nm0928781
tt0027478;nm0144475;nm0719756
tt0027478;nm0699535;nm0719756
tt0027478;nm0719756;nm0719756
tt0027532;nm0507760;nm0943758
tt0027532;nm0397608;nm0943758
tt0027532;nm0943753;nm0943758
tt0027652;nm0179993;nm0000485
tt0027652;nm0000485;nm0000485
tt0027652;nm0469915;nm0000485
tt0027657;nm0382562;nm0092915
tt0027657;nm0513744;nm0092915
tt0027657;nm0726704;nm0092915
tt0027657;nm0325135;nm0092915
tt0027672;nm0475520;nm0003226
tt0027672;nm0003226;nm0003226
tt0027672;nm0406808;nm0003226
tt0027914;nm0536941;nm0886754
tt0027914;nm0781719;nm0886754
tt0027914;nm0403391;nm0886754
tt0027914;nm0337588;nm0886754
tt0027914;nm0110901;nm0886754
tt0027914;nm0000581;nm0886754
tt0027977;nm0000122;nm0000122
tt0028021;nm0297884;nm0003226
tt0028021;nm0003226;nm0003226
tt0028021;nm0645432;nm0003226
tt0028021;nm0406808;nm0003226
tt0028070;nm0414669;nm0480046
tt0028070;nm0175028;nm0480046
tt0028070;nm0012148;nm0480046
tt0028070;nm0736778;nm0480046
tt0028070;nm0422382;nm0480046
tt0028070;nm0335831;nm0480046
tt0028070;nm0377194;nm0480046
tt0028070;nm0491048;nm0480046
tt0028070;nm1329995;nm0480046
tt0028096;nm0448981;nm0562845
tt0028096;nm0202681;nm0562845
tt0028096;nm0792845;nm0562845
tt0028141;nm0425913;nm0000406
tt0028167;nm0958454;nm0466099
