primaryTitle;startYear;rtRating
Matangi/Maya/M.I.A;2018;90%
Walking Out;2017;90%
Home from the Hill;1960;90%
Day of the Warrior;1996;
Shoot the Piano Player;1960;90%
Devil's Island;1996;
Picnic at Hanging Rock;1975;90%
Tread;2020;90%
The Silent Revolution;2018;90%
The Bandit;1996;
After Midnight;2019;90%
Evil Ed;1995;
The Block Island Sound;2020;90%
Underworld;1927;89%
Familia;1996;
Trouble in Paradise;1932;89%
Little Women;1933;89%
Stella Dallas;1937;89%
The Citadel;1938;89%
Olympia Part One: Festival of the Nations;1938;89%
In Which We Serve;1942;89%
Ghatak: Lethal;1996;
The God of Cookery;1996;
The Magnificent Ambersons;1942;89%
Hearts & Minds;1995;
Phantom Lady;1944;89%
Hustler White;1996;
Body Troopers;1996;
The Postman Always Rings Twice;1946;89%
Somewhere in the Night;1946;89%
Abbott and Costello Meet Frankenstein;1948;89%
The Stratton Story;1949;89%
Broken Arrow;1950;89%
Khamoshi the Musical;1996;
On Dangerous Ground;1951;89%
Park Row;1952;89%
The Last Days of Frankie the Fly;1996;
Dial M for Murder;1954;89%
Leily Is with Me;1996;
Pretty Village, Pretty Flame;1996;
Lilla Jonssonligan och cornflakeskuppen;1996;
Summertime;1955;89%
Giant;1956;89%
Man of a Thousand Faces;1957;89%
The Horse's Mouth;1958;89%
Big Deal on Madonna Street;1958;89%
Sleeping Beauty;1959;89%
The Magnificent Seven;1960;89%
Mojave Moon;1996;
Rocco and His Brothers;1960;89%
Nach Funf im Urwald;1995;
The Incredible Journey;1963;89%
Omega Doom;1996;
The Servant;1963;89%
The Soft Skin;1964;89%
Help!;1965;89%
The Father;1996;
A Patch of Blue;1965;89%
The Chase;1966;89%
Pedale douce;1996;
King of Hearts;1966;89%
The Sand Pebbles;1966;89%
Five Easy Pieces;1970;89%
The Beguiled;1971;89%
Sabotage;1996;
The Day of the Jackal;1973;89%
Sgt. Kabukiman N.Y.P.D.;1990;
Shadow Builder;1998;
Blazing Saddles;1974;89%
Overlord;1975;89%
Christ Stopped at Eboli;1979;89%
Scum;1979;89%
Swallowtail Butterfly;1996;
The Wanderers;1979;89%
The King of Comedy;1982;89%
Places in the Heart;1984;89%
The Breakfast Club;1985;89%
Salvador;1986;89%
Earth;1996;
Rain Man;1988;89%
Mystery Train;1989;89%
The Commitments;1991;89%
Leolo;1992;89%
Premeditated Murder;1995;
Malcolm X;1992;89%
Werner - Das muss kesseln!!!;1996;
Dream of Light;1992;89%
U2: Zoo TV Live from Sydney;1994;
A Moment of Innocence;1996;89%
In the Company of Men;1997;89%
Men with Guns;1997;89%
Auzaar;1997;
Titanic;1997;89%
Tarzan;1999;89%
Henry Fool;1997;89%
Rushmore;1998;89%
My Name Is Joe;1998;89%
Border;1997;
Two Family House;2000;89%
Lucky Star;1997;
Amelie;2001;89%
Baran;2001;89%
The Road Home;1999;89%
In America;2002;89%
Russian Ark;2002;89%
Chinese Coffee;2000;
3:10 to Yuma;2007;89%
Beautiful City;2004;89%
California Dreamin';2007;89%
Doctor Strange;2016;89%
The First Semester;1997;
The Ex;1996;
The Secret in Their Eyes;2009;89%
Executive Target;1997;
Straight Outta Compton;2015;89%
The Drop;2014;89%
The Autobiography of Nicolae Ceausescu;2010;89%
Blue Is the Warmest Colour;2013;89%
Glam;1997;
Crossfire Hurricane;2012;89%
Gupt: The Hidden Truth;1997;
Half a Chance;1998;
Harry Dean Stanton: Partly Fiction;2012;89%
Heaven's Burning;1997;
Last Cab to Darwin;2015;89%
Maudie;2016;89%
Let Her Out;2016;89%
Bodied;2017;89%
John Wick: Chapter 3 - Parabellum;2019;89%
Iruvar;1997;
The Island on Bird Street;1997;
The Ballad of Buster Scruggs;2018;89%
The Great Buddha+;2017;89%
Joan Didion: The Center Will Not Hold;2017;89%
The Last Time I Committed Suicide;1997;
Hereditary;2018;89%
Letters from a Killer;1998;
The Lower Depths;1936;89%
The Wax Mask;1997;
Martin (Hache);1997;
Sisters of the Gion;1936;89%
Mean Guns;1997;
True Grit;1969;89%
In This World;2002;89%
The Five Obstructions;2003;89%
Brothers;2004;89%
Body;2015;89%
Ogifta par ...en film som skiljer sig;1997;
You Will Die at 20;2019;89%
Almost Famous;2000;89%
The Clay Bird;2002;89%
The Trial of the Chicago 7;2020;89%
Hikers;1997;
Behind the Lines;1997;
Zombieland;2009;89%
Anthropocene: The Human Epoch;2018;89%
The Second Jungle Book: Mowgli & Baloo;1997;
Orphans of the Storm;1921;88%
Secrets of the Heart;1997;
Napoleon;1927;88%
The Barber of Siberia;1998;
Island of Lost Souls;1932;88%
Dark Victory;1939;88%
The Little Princess;1939;88%
The Talk of the Town;1942;88%
The Song of Bernadette;1943;88%
Gaslight;1944;88%
Ministry of Fear;1944;88%
Danes Without a Clue;1997;
The Woman in the Window;1944;88%
Kiss of Death;1947;88%
D.O.A.;1949;88%
Hondo;1953;88%
A Face in the Crowd;1957;88%
Virasat;1997;
Equinox Flower;1958;88%
Two Women;1960;88%
The Pit and the Pendulum;1961;88%
Vivre Sa Vie;1962;88%
The Organiser;1963;88%
Break Up;1998;
Bonnie and Clyde;1967;88%
The Incident;1967;88%
Rachel, Rachel;1968;88%
This Man Must Die;1969;88%
The Abominable Dr. Phibes;1971;88%
And Now for Something Completely Different;1971;88%
The Bitter Tears of Petra von Kant;1972;88%
The Wicker Man;1973;88%
Female Trouble;1974;88%
Madame Rosa;1977;88%
Kagemusha;1980;88%
The Negotiator;1998;
Phar Lap;1983;88%
Trading Places;1983;88%
The Hit;1984;88%
Lost & Found;1999;
Sweepers;1998;
Pelle the Conqueror;1987;88%
The Naked Gun: From the Files of Police Squad!;1988;88%
Black Rainbow;1989;88%
The Hunt for Red October;1990;88%
The Long Walk Home;1990;88%
Mindwalk;1990;88%
The Dead Pit;1989;
The Crazy Stranger;1997;
A Midnight Clear;1992;88%
The Rolling Stones Rock and Roll Circus;1996;
Lucky and Zorba;1998;
Vive L'Amour;1994;88%
Fresh;1994;88%
Lassie;1994;88%
Zatoichi's Revenge;1965;
The Miscellaneous Brigade on the Watch;1971;
Brigada Diverse intra in actiune;1970;
B.D. in the Mountains and on the Seaside;1971;
Eat Drink Man Woman;1994;88%
Patlabor 2: The Movie;1993;
Who Wants to Kill Jessie?;1966;
Splatter University;1984;
Crimson Tide;1995;88%
Fire;1996;88%
Career Girls;1997;88%
Donnie Brasco;1997;88%
Denial;1998;
The Spanish Prisoner;1997;88%
The Shadow Men;1997;
Wavelength;1967;
Kiler;1997;
L.E.T.H.A.L. Ladies: Return to Savage Beach;1998;
Seven Years Bad Luck;1921;
Waco: The Rules of Engagement;1997;88%
The Thief;1997;88%
Ghost Keeper;1981;
Shrek;2001;88%
Cane Toads: An Unnatural History;1988;88%
Chalti Ka Naam Gaadi;1958;
The Matrix;1999;88%
Hilary and Jackie;1998;88%
Spring Forward;1999;88%
After Life;1998;88%
Postmortem;1998;
La Cienaga;2001;88%
The Day I Became a Woman;2000;88%
Tri plyus dva;1963;
Joint Security Area;2000;88%
Detective Conan: The Time Bombed Skyscraper;1997;
No Code of Conduct;1998;
Bad Education;2004;88%
Before the Devil Knows You're Dead;2007;88%
Crimson Gold;2003;88%
Brokeback Mountain;2005;88%
Guru;1997;
Tony Takitani;2004;88%
The Girls;1962;
The Graduates;1986;
Control;2007;88%
Barrel Piano, Poverty and Earnestness;1955;
The Auntie from Chicago;1957;
Webmaster;1998;
Shake Hands with the Devil: The Journey of Romeo Dallaire;2004;88%
Welcome to Dongmakgol;2005;88%
Santa and the Ice Cream Bunny;1972;
Into Great Silence;2005;88%
Girl;1998;
The Opportunists;2000;
Venus;2006;88%
Bone Daddy;1998;
Reprise;2006;88%
Helvetica;2007;88%
Frozen River;2008;88%
Avvai Shanmugi;1996;
Guna;1991;
Your Name Engraved Herein;2020;88%
Pathinaru Vayathinile;1977;
Sathi Leelavathi;1995;
Sator;2019;88%
Christmas in August;1998;
Boy A;2007;88%
Malik;2021;88%
Thoda Pyaar Thoda Magic;2008;88%
Polytechnique;2009;88%
The Last Spring;1994;
Dragon Ball Z: Revival Fusion;1995;
Dragon Ball Z: Wrath of the Dragon;1995;
Killer Crocodile;1989;
LA Originals;2020;88%
Let Me In;2010;88%
Country of the Deaf;1998;
The Phenomenon;2020;88%
Whores' Glory;2011;88%
Undertow;2009;88%
Girl on the Bridge;1999;
Premutos - Der gefallene Engel;1997;
The Red Light Bandit;1968;
Kingdom of Crooked Mirrors;1963;
Rocket Singh: Salesman of the Year;2009;88%
Susan's Plan;1998;
Reel Injun;2009;88%
Machete Maidens Unleashed!;2010;88%
Drunk Stoned Brilliant Dead;2015;88%
Happy People: A Year in the Taiga;2010;88%
If a Tree Falls: A Story of the Earth Liberation Front;2011;88%
Not Suitable for Children;2012;88%
In the House;2012;88%
Aa Ab Laut Chalen;1999;
Cholera Street;1997;
Eames: The Architect & The Painter;2011;88%
Manborg;2011;88%
The Gilded Cage;2013;88%
Once Upon a Time There Was a Singing Blackbird;1970;
The Miracle of P. Tinto;1998;
Goodbye to Language;2014;88%
The Trials of Muhammad Ali;2013;88%
First Rank;1990;
Coherence;2013;88%
Highway;2014;88%
Haider;2014;88%
Sun Choke;2015;88%
Zero Motivation;2014;88%
Dope;2015;88%
Bajrangi Bhaijaan;2015;88%
Don't Breathe;2016;88%
What Happened, Miss Simone?;2015;88%
Of Freaks and Men;1998;
The Club;2015;88%
First They Killed My Father;2017;88%
Faithless;2000;
Winter on Fire: Ukraine's Fight for Freedom;2015;88%
Dangal;2016;88%
The Fall of Rock & Roll;1989;
Don't Come Back from the Moon;2017;88%
Whitney;2018;88%
One Last Deal;2018;88%
The Post;2017;88%
The Brawler;2017;88%
Walking on Water;2018;88%
Revelation;1999;
Deadly Instincts;1997;
Alt-Right: Age of Rage;2018;88%
Die Hard Dracula;1998;
Sorry We Missed You;2019;88%
1917;2019;88%
Cuties;2020;88%
Oklahoma!;1955;88%
Carmen;1984;88%
I Am Trying to Break Your Heart;2002;88%
The Cat Returns;2002;88%
Virtual Sexuality;1999;
I've Loved You So Long;2008;88%
Zatoichi Goes to the Fire Festival;1970;
Samaritan Zatoichi;1968;
Tab Hunter Confidential;2015;88%
My Brother the Pig;1999;
Nise: The Heart of Madness;2015;88%
Firebird;2021;88%
Thumper;2017;88%
The Smiling Lieutenant;1931;88%
Interstate 60: Episodes of the Road;2002;
Maniac Nurses find Ecstasy;1990;
Magnificent Obsession;1954;88%
Good Morning;1959;88%
Subconscious Cruelty;2000;
Toxic Love;1983;
The Health Journey;1999;
The Silence;1963;88%
The Passenger;1975;88%
The Year of Living Dangerously;1982;88%
Tommy and the Wildcat;1998;
Progeny;1998;
Time to Love;1965;
12 Monkeys;1995;88%
The Usual Suspects;1995;88%
Chicken Park;1994;
Gallo cedrone;1998;
The Longest Nite;1998;
Pi;1998;88%
I Stand Alone;1998;88%
Rabbit-Proof Fence;2002;88%
Late Marriage;2001;88%
Mystic River;2003;88%
Welcome to Hollywood;1998;
Father of a Soldier;1964;
Airspeed;1999;
Diplomatic Siege;1999;
The Pope's Toilet;2007;88%
Rango;2011;88%
Chaahat;1996;
Dancer;2016;88%
The Triumph of the Will;1935;87%
Guddu;1995;
The Spiral Staircase;1946;87%
Visitor of a Museum;1989;
Nightmare Alley;1947;87%
Portrait of Jennie;1948;87%
Othello;1951;87%
Girl in Gold Boots;1968;
From Here to Eternity;1953;87%
The Man Who Knew Too Much;1956;87%
Frivolous Lola;1998;
The Virgin Spring;1960;87%
The Longest Day;1962;87%
Bunny Lake Is Missing;1965;87%
The Phantom of Liberty;1974;87%
Without Evidence;1995;
All That Jazz;1979;87%
Sisters of Death;1976;
The Glass Agency;1998;
The Warriors;1979;87%
Miss Director;1964;
Poltergeist;1982;87%
Once Upon a Time in America;1984;87%
Swing Shift;1984;87%
Mishima: A Life in Four Chapters;1985;87%
Olivier, Olivier;1992;87%
Kamiondzije opet voze;1984;
To Live;1994;87%
Unhinged;1982;
The Promising Boy;1981;
Elvis Gratton II: Miracle a Memphis;1999;
And the Woman Shall Fear Her Husband;1965;
Heat;1995;87%
Boulevard of the Revolution;1992;
The People vs. Larry Flynt;1996;87%
Yparhei Kai Filotimo;1965;
Swingers;1996;87%
A Holy Place;1990;
The Castle;1997;87%
Rosewood;1997;87%
Jinnah;1998;
Werner - Volles Rooaaa!!!;1999;
Mr. Muhsin;1987;
Rurouni Kenshin: Requiem for the Ishin Patriots;1997;
Aberdeen;2000;87%
Under the Skin of the City;2001;87%
Neo Tokyo;1987;
Peculiarities of the National Fishing;1998;
Gosford Park;2001;87%
Zatoichi's Cane Sword;1967;
A Mighty Wind;2003;87%
Les Boys III;2001;
Laadla;1994;
Barking at the Stars;1998;
Moondram Pirai;1982;
Kings & Queen;2004;87%
Distant;2002;87%
Howl's Moving Castle;2004;87%
Dexter the Dragon & Bumble the Bear;1983;
King of Comedy;1999;
The Blind Swordsman: Zatoichi;2003;87%
Wheels;1998;
Gabriela;2001;
Hum Aapke Dil Mein Rehte Hain;1999;
Machuca;2004;87%
Broken Flowers;2005;87%
Ghulam;1998;
Pride & Prejudice;2005;87%
Sophie Scholl: The Final Days;2005;87%
Kung Fu Panda;2008;87%
The Last King of Scotland;2006;87%
Jesus Camp;2006;87%
The Man Who Sleeps;1974;
Bliss;2021;87%
The Descendants;2011;87%
Chico & Rita;2010;87%
Badding;2000;
Belfast;2021;87%
Even the Rain;2010;87%
The Wrecking Crew;2000;
The Right Temptation;2000;
Hjarta av sten;2000;
International Khiladi;1999;
I Killed My Mother;2009;87%
The Last Lions;2011;87%
What Maisie Knew;2012;87%
The Peanuts Movie;2015;87%
Be There or Be Square;1998;
Druids;2001;
Jill Rips;2000;
Sea Fever;2019;87%
Sarfarosh;1999;
Chef;2014;87%
A Brilliant Young Mind;2014;87%
Lost & Found;2016;87%
Hitokiri;1969;
The Keeper;2018;87%
Survival Island;2002;
Vanaprastham;1999;
Wind River;2017;87%
Professor Marston & the Wonder Women;2017;87%
Mountain;2017;87%
The Grizzlies;2018;87%
Lifechanger;2018;87%
Luz;2018;87%
The Mountain;2018;87%
Dil Bechara;2020;87%
A Summer Tale;2000;
The Djinn;2021;87%
The Seven Year Itch;1955;87%
Mikey and Nicky;1976;87%
The China Syndrome;1979;87%
Railroad Man;1999;
Gen-X Cops;1999;
Biwi No. 1;1999;
Canone inverso - Making Love;2000;
Himalaya;1999;87%
Compassionate Sex;2000;
Notes on a Scandal;2006;87%
Kung Fu Panda 3;2016;87%
The Last of Sheila;1973;87%
Like Water for Chocolate;1992;87%
German Fried Movie;1992;
Safe;1995;87%
American Beauty;1999;87%
The Attack;2012;87%
Actors;2000;
Absentia;2011;87%
The Story of Temple Drake;1933;86%
The Good Fairy;1935;86%
The Ghost Breakers;1940;86%
The Man Who Came to Dinner;1942;86%
After Alice;2000;
Woman of the Year;1942;86%
Hangmen Also Die!;1943;86%
Karz;1980;
The Last Patrol;2000;
Manichithrathazhu;1993;
Angoor;1982;
The Miracle of Morgan's Creek;1944;86%
The Enchanted Cottage;1945;86%
Mildred Pierce;1945;86%
Jet Set;2000;
Scandal;1950;86%
The Adventures of Mowgli;1973;
The Country Girl;1954;86%
The Ten Commandments;1956;86%
There's Always Tomorrow;1955;86%
Agent Red;2000;
The St. Francisville Experiment;2000;
Buying the Cow;2002;
Dracula 2000;2000;
The Enemy Below;1957;86%
Shool;1999;
The Spirit of St. Louis;1957;86%
The Last Hurrah;1958;86%
The Waiting List;2000;
The Lineup;1958;86%
964 Pinocchio;1991;
Aflatoon;1997;
The Debt;1999;
Female Prisoner #701: Scorpion;1972;
Marsal;1999;
One 2 Ka 4;2001;
The League of Gentlemen;1960;86%
Throw Away Your Books, Rally in the Streets;1971;
Sleepwalker;2000;
An Evening of Edgar Allan Poe;1970;
Black Sunday;1960;86%
Restless;2000;
Woh Kaun Thi?;1964;
Land of Fear;1999;
Pollyanna;1960;86%
Tokyo Raiders;2000;
Epicenter;2000;
Carnival of Souls;1962;86%
7 Faces of Dr. Lao;1964;86%
Sanctimony;2000;
Slime City;1988;
King & Country;1964;86%
The Town Is Quiet;2000;
Wicked Spring;2002;
The Cincinnati Kid;1965;86%
Burn!;1969;86%
Get Carter;1971;86%
A Crack in the Floor;2001;
Death Has Blue Eyes;1976;
Macbeth;1971;86%
Bharatham;1991;
Dasharatham;1989;
His Highness Abdullah;1990;
Boys Don't Cry;2000;
Turkish Delight;1973;86%
Flesh for Frankenstein;1973;86%
Tomie;1998;
The Last Metro;1980;86%
Sans Soleil;1983;86%
Comet in Moominland;1992;
Star Trek II: The Wrath of Khan;1982;86%
Varazslat - A Queen Budapesten;1987;86%
Eight Men Out;1988;86%
To the Left of the Father;2001;
Tremors;1990;86%
Sweetie Pie;2002;
The Joy Luck Club;1993;86%
Underground;1995;86%
Priyuralu Pilichindi;2000;
The Book of Stone;1969;
The Emperor's New Groove;2000;86%
Revolutionary Girl Utena: The Movie;1999;
The Duel;2000;
The Cruise;1998;86%
2046;2004;86%
Crush;2001;
The Eyes of Tammy Faye;2000;86%
Just, Melvin: Just Evil;2000;86%
Chunhyang;2000;86%
About Schmidt;2002;86%
Son of the Bride;2001;86%
Chicago;2002;86%
Big Animal;2000;
The Snow Walker;2003;86%
The Aviator;2004;86%
The Great Journey;2004;86%
Aileen: Life and Death of a Serial Killer;2003;86%
Aap Mujhe Achche Lagne Lage;2002;
Badal;2000;
Badri;2000;
Dulhan Hum Le Jayenge;2000;
Get Ready to Be Boyzvoiced;2000;
Collateral;2004;86%
Tholi Prema;1998;
Yaadein...;2001;
3 A.M.;2001;
Kiss Kiss Bang Bang;2005;86%
Moonnam Pakkam;1988;
Namukku Parkkan Munthiri Thoppukal;1986;
Thoovanathumbikal;1987;
Mayabazar;1957;
Paris, je t'aime;2006;86%
Sweeney Todd: The Demon Barber of Fleet Street;2007;86%
Thank You for Smoking;2005;86%
Chilly Dogs;2001;
The Road to Guantanamo;2006;86%
Bichhoo;2000;
Davaci;1987;
Dutturu Dunya;1988;
Gerzek Saban;1980;
The Chaos Class;1975;
The Chaos Class Is on Vacation;1977;
The Chaos Class Is Waking Up;1977;
Kanli Nigar;1981;
Korkusuz Korkak;1979;
Ask Me If I'm Happy;2000;
Inek Saban;1978;
Shaban, a Man from the Middle Class;1984;
Flame & Citron;2008;86%
The Stupid Millionaire;1974;
Salako;1974;
Tosun Pasa;1976;
XXY;2007;86%
George Harrison: Living in the Material World;2011;86%
Yuz Numarali Adam;1978;
Copculer Krali;1977;
Uc Kagitci;1981;
Phool Aur Kaante;1991;
Blue Valentine;2010;86%
Kilukkam;1991;
Midhunam;1993;
Rats and Cats;2007;86%
Down House;2001;
Chori Chori Chupke Chupke;2001;
Killers;1996;
Glass Tiger;2001;
American Murder: The Family Next Door;2020;86%
Wings of Glass;2000;
A Single Man;2009;86%
My Hero Academia: World Heroes' Mission;2021;86%
Girls on Top;2001;
Beneath Hill 60;2010;86%
Eyes Wide Open;2009;86%
The Girl with the Dragon Tattoo;2011;86%
Chinese Take-Out;2011;86%
Nobel's Last Will;2012;86%
Taking Sides;2001;
The Dream Factory;1997;
From Up on Poppy Hill;2011;86%
Peter Bell;2002;
Django Unchained;2012;86%
Last Passenger;2013;86%
Winter Break;2003;
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty;2000;
Something from Nothing: The Art of Rap;2012;86%
Gundamma Katha;1962;
Thomas in Love;2000;
Savage Souls;2001;
Shortcut to Happiness;2003;
Devlerin Aski;1976;
Pretty Things;2001;
Kara gozlum;1970;
After Lucia;2012;86%
Sultan;1978;
Richard Pryor: Omit the Logic;2013;86%
Abuse of Weakness;2013;86%
Wonder;2017;86%
Parched;2015;86%
The Admiral: Roaring Currents;2014;86%
The Wife;2017;86%
The Night Watchmen;2017;86%
Offside;2000;
Once in a Lifetime;2000;
Megan Leavey;2017;86%
A Very Sordid Wedding;2017;86%
China Strike Force;2000;
Demobbed;2000;
Psycho Raman;2016;86%
I Am Heath Ledger;2017;86%
Raat;1992;
Legacy of Lies;2020;86%
Chandni Bar;2001;
Dying to Survive;2018;86%
The Golem;2018;86%
Woodstock: Three Days That Defined a Generation;2019;86%
Macbeth;1948;86%
The Elm-Chanted Forest;1986;
Ripper;2001;
The Mystery of Picasso;1956;86%
Ice Planet;2001;
Jonssonligan spelar hogt;2000;
Naken;2000;
Dr. Babasaheb Ambedkar;2000;
Our Lips Are Sealed;2000;
The Ballad of Narayama;1958;86%
Ditto;2000;
Soul Assassin;2001;
How the West Was Won;1962;86%
No: 20 Madras Mail;1990;
The Agony and the Ecstasy;1965;86%
Sunday Bloody Sunday;1971;86%
Reptile 2001;1999;
Let's Be Friends!;2002;
The Way of the Dragon;1972;86%
Journey of the Hyena;1973;86%
Commissar Shakespeare;2000;
Phantom of the Paradise;1974;86%
The Omen;1976;86%
Coal Miner's Daughter;1980;86%
The Warrior;2001;
Donnie Darko;2001;86%
Inside Man;2006;86%
Sol Goode;2003;
Barfi!;2012;86%
13 Moons;2002;
Selah and the Spades;2019;86%
Bug;2002;
Feuer, Eis & Dosenbier;2002;
Die Nibelungen: Kriemhild's Revenge;1924;86%
In Harihar Nagar;1990;
The Scarlet Empress;1934;86%
Saboteur;1942;86%
Harvey;1950;86%
My Best Friend;2001;
Nereye Bakiyor Bu Adamlar;1976;
25 Watts;2001;
This Is Elvis;1981;86%
The Ice Storm;1997;86%
Daddy and Them;2001;86%
Garden State;2004;86%
Yossi & Jagger;2002;86%
Shut Up and Play the Hits;2012;86%
Good Ol' Freda;2013;86%
I Am Bolt;2016;86%
6 Balloons;2018;86%
A Fortunate Man;2018;86%
My Favorite Wife;1940;85%
Friend;2001;
Spiders II: Breeding Ground;2001;
Heaven Can Wait;1943;85%
Blood Feast 2: All U Can Eat;2002;
Riders;2002;
I Saw Mommy Kissing Santa Claus;2001;
Il Mare;2000;
Criss Cross;1949;85%
Stranded;2001;
A Christmas Carol;1951;85%
Samurai I: Musashi Miyamoto;1954;85%
East of Eden;1955;85%
Lost Junction;2003;
Muriel;1963;85%
Anja & Viktor;2001;
Bond of Love;2001;
Gadar: Ek Prem Katha;2001;
The Bedford Incident;1965;85%
WiseGirls;2002;
The Nanny;1965;85%
Cooley High;1975;85%
Kuruthipunal;1995;
Fox and His Friends;1975;85%
Les rois mages;2001;
My Brilliant Career;1979;85%
The Triplets of Belleville;2003;
Woyzeck;1979;85%
My Aunt;1986;
The Attack of the Giant Mousaka;1999;
Bagdad Cafe;1987;85%
Fate: Tales About Darkness;2001;
Taboo;2002;
Godforsaken;2003;
Privates Lives;2001;
Ayam El-Sadat;2001;
Whacked!;2002;
They Live;1988;85%
Hababam Sinifi Dokuz Doguruyor;1978;
Avalon;1990;85%
JFK;1991;85%
Fearless;1993;85%
The Crow;1994;85%
Dolores Claiborne;1995;85%
The Devils;2002;
Nayak: The Real Hero;2001;
Breaking the Waves;1996;85%
Dil Chahta Hai;2001;
The English Patient;1996;85%
Pleasantville;1998;85%
The Apple;1998;85%
Ratcatcher;1999;85%
Treed Murray;2001;
Bridge to Terabithia;2007;85%
The Gathering;2002;
Me and Morrison;2001;
The Bomber;2001;
More Ants in the Pants;2002;
The Namesake;2006;85%
Taxi 3;2003;
Company;2002;
Argo;2004;
The Princess and the Frog;2009;85%
Ravanaprabhu;2001;
The Black Balloon;2008;85%
In Search of a Midnight Kiss;2007;85%
Crying... Silicon Tears;2001;
Rehnaa Hai Terre Dil Mein;2001;
Waterboys;2001;
Tyson;2008;85%
The Girl with the Dragon Tattoo;2009;85%
Absolon;2003;
The Social Dilemma;2020;85%
Cardcaptor Sakura: The Movie;1999;
Cardcaptor Sakura: The Sealed Card;2000;
Oysters at Nam Kee's;2002;
Lorna's Silence;2008;85%
Defamation;2009;85%
Barely Legal;2003;
A Better Life;2011;85%
Polle Fiction;2002;
Honey;2010;85%
Bully;2011;85%
End of Watch;2012;85%
Steve Jobs;2015;85%
Bridegroom;2013;85%
Grill Point;2002;
Still Alice;2014;85%
Guardians of the Galaxy Vol. 2;2017;85%
Skinned Deep;2004;
Sweet Bean;2015;85%
The Great Hack;2019;85%
Rust Creek;2018;85%
The Courier;2020;85%
Les Miserables;1935;85%
The Day the Earth Caught Fire;1961;85%
Kramer vs. Kramer;1979;85%
No Pain, No Gain;2004;
Public Enemy;2002;
Lovers & Leavers;2002;
Maa Tujhhe Salaam;2002;
Murder on a Sunday Morning;2001;
The Man from Snowy River;1982;85%
Sin;2003;
Tempo;2003;
I Not Stupid;2002;
Zapata - El sueno del heroe;2004;
The Unbearable Lightness of Being;1988;85%
Friends;2001;
Just for Kicks;2003;
As Good as It Gets;1997;85%
Beau travail;1999;85%
Blue Spring;2001;
Kisses;2008;85%
Tumko Na Bhool Paayenge;2002;
Deadpool;2016;85%
Waiting Alone;2004;
The Death of Superman Lives: What Happened?;2015;85%
Leave Her to Heaven;1945;85%
3 Godfathers;1948;85%
La Notte;1961;85%
California Split;1974;85%
Gandhi;1982;85%
My Life as McDull;2001;
The Cook, the Thief, His Wife & Her Lover;1989;85%
Selamsiz's Band;1988;
Akeelah and the Bee;2006;85%
My Life Without Me;2003;
Wendy and Lucy;2008;85%
Romantik;2007;
The Art of the Steal;2009;85%
Beginners;2010;85%
Tupac Shakur: Thug Angel;2002;
The Revenge;2002;
Pulp: A Film About Life, Death & Supermarkets;2014;85%
Just Jim;2015;85%
The Trial;1962;84%
Faces;1968;84%
MASH;1970;84%
Laughter and Punishment;2003;
Charley Varrick;1973;84%
The Tin Drum;1979;84%
Tender Mercies;1983;84%
Indiana Jones and the Temple of Doom;1984;84%
The Legend of Drunken Master;1994;84%
Jerry Maguire;1996;84%
Hercules;1997;84%
Gloomy Sunday;1999;84%
Hum Kisi Se Kum Nahin;2002;
The Smashing Machine;2002;
The Others;2001;84%
Lakshya;2004;
The Bourne Identity;2002;84%
Nemesis Game;2003;
Kitchen Stories;2003;
Antikiller;2002;
Boats Out of Watermelon Rinds;2004;
George Washington;2000;84%
Saint Seiya: Legend of Crimson Youth;1988;
Maine Dil Tujhko Diya;2002;
Chaos;2001;84%
Baba;2002;
Lilya 4-Ever;2002;84%
Bukowski: Born into This;2003;84%
The Sea Inside;2004;84%
Om Jai Jagadish;2002;
The Memory of a Killer;2003;84%
Alien Hunter;2003;
Amir El Zalam;2002;
Kill Bill: Vol. 2;2004;84%
Mad Hot Ballroom;2005;84%
The Hidden Blade;2004;84%
The Collingswood Story;2002;
State of Play;2009;84%
El Alamein - The Line of Fire;2002;
Fine Dead Girls;2002;
I Witness;2003;
13;2005;84%
Mr. and Mrs. Iyer;2002;
I Used to Go Here;2020;84%
The Way I See It;2020;84%
JCVD;2008;84%
A Colt Is My Passport;1967;
She Dies Tomorrow;2020;84%
American: The Bill Hicks Story;2009;84%
If Only;2004;
Jane Eyre;2011;84%
Star Trek Into Darkness;2013;84%
Cheese and Jam;2003;
Testament of Youth;2014;84%
Laurence Anyways;2012;84%
Whitewash;2013;84%
It Felt Like Love;2013;84%
I Am Big Bird: The Caroll Spinney Story;2014;84%
Baghban;2003;
Rich Hill;2014;84%
Mean Spirit;2003;
Christmas on the Nile;2002;
A Wolf at the Door;2013;84%
Darkest Hour;2017;84%
Heartstone;2016;84%
Like Crazy;2016;84%
Divines;2016;84%
Mohawk;2017;84%
Dogman;2018;84%
Edi;2002;
Gladiatress;2004;
Gone;2002;
Girl on the Third Floor;2019;84%
Candyman;2021;84%
Blow Out;1981;84%
Names Engraved in Marble;2002;
The Professional;2003;
Tube;2003;
Fat Pizza;2003;
Grande ecole;2004;
L.I.E.;2001;84%
King Kong;2005;84%
Naked Weapon;2002;
This Film Is Not Yet Rated;2006;84%
Manufactured Landscapes;2006;84%
North Face;2008;84%
Far from Men;2014;84%
